der el
definition definición
original original
original originales
prag praga
polnischen polaco
modernen modernas
modernen modernos
modernen moderno
bot bot
verstehen comprender
verstehen comprensión
verstehen entender
ehefrau esposa
indien india
beschreibt describe
eins uno
josé josé
schlecht malo
schlecht mal
shift shift
admins admins
admins administradores
südwesten sudoeste
südwesten suroeste
politisch político
politisch políticamente
leser lector
leser lectores
turnier torneo
körper cuerpo
chemie química
bildhauer escultor
bericht informe
untersuchungen investigaciones
angriff ataque
sängerin cantante
sprechen hablar
gewonnen ganado
kontakt contacto
fakultät facultad
verhältnis relación
verhältnis proporción
verhältnis cociente
bist eres
bist are
evangelische evangélica
diskutiert discutido
luft aire
mexiko méxico
kommission comisión
reise viaje
entsteht surge
gebiete zonas
vereine asociaciones
vereine clubes
monaten meses
erhält recibe
mehrheit mayoría
nordwesten noroeste
datum fecha
british british
eigenes propio
marine marine
variante variante
kalifornien california
sicherheit seguridad
kassel kassel
meer mar
theologie teología
heft cuaderno
heft carpeta
gast invitado
gast huésped
nächste siguiente
nächste próxima
geschaffen creado
geschaffen creados
konzept concepto
griechischen griego
türkei turquía
bronze bronce
entstehen surgir
setzen apostar
setzen poner
begonnen comenzado
begonnen iniciado
lieder canciones
persönlich personal
persönlich personalmente
herausgegeben editado
verwenden utilizar
verwenden usar
östlichen oriental
grenzen límites
grenzen fronteras
oper ópera
smith smith
fenster ventana
fenster ventanas
fenster ventanillas
unterscheiden distinguir
unterscheiden diferenciar
königs rey
farbe color
commons commons
dissertation tesis
poly poli
matthias matías
matthias matthias
bände volúmenes
rede discurso
geändert cambiado
russisch ruso
horst horst
zugeordnet asignada
zugeordnet asignado
unternehmer emprendedor
unternehmer empresarios
unternehmer empresario
karten mapas
prinzip principio
struktur estructura
grafschaft condado
beruf ocupación
beruf profesión
südosten sureste
alben álbumes
aktuell actualidad
aktuell actual
reichen ricos
stimmt cierto
company company
szene escena
parlament parlamento
licht luces
licht luz
ausdruck expresión
bezeichner identificador
oxford oxford
ungefähr aproximadamente
ungefähr alrededor
russische ruso
verschoben aplazado
verschoben trasladado
verschoben movido
zeigte mostró
zeigte demostró
erwähnung mención
erwähnung menciones
argumente argumentos
standort ubicación
standort localización
lehre doctrina
spitze punta
spitze extremidad
hugo hugo
morgen mañana
holz madera
qualifikation cualificación
qualifikation calificación
industrie industria
material material
king king
angesehen mirado
angesehen visto
angesehen vistos
manfred manfred
edward edward
manche algunos
erhielten recibieron
erhielten obtuvieron
one one
prozess proceso
best best
elemente elementos
existieren existir
existieren existen
abitur bachillerato
grünen verde
grünen verdes
bistum diócesis
anhalt anhalt
ansicht vista
ansicht visión
inneren interior
abgesehen aparte
adam adam
adam adán
unbekannt desconocido
feld campo
halbfinale semifinal
dänemark dinamarca
private privado
bezieht refiere
öffentlich público
öffentlich públicamente
arts arts
nahmen tomaron
jüdische judía
ebenda ibídem
würzburg würzburg
kriterien criterios
standard estándar
standard predeterminado
standard standard
pflanzen plantas
journal journal
starke fuertes
starke fuerte
änderung cambio
änderung modificación
infanterie infantería
brüder hermanos
förderung promoción
albrecht albrecht
kiel quilla
interview entrevista
spiegel espejos
spiegel espejo
ausnahme excepción
mecklenburg mecklemburgo
töchter hijas
königin reina
geplant planificado
geplant planificada
ursprünglichen original
ursprünglichen originales
lizenz licencia
veranstaltungen eventos
schrift alfabeto
schrift escritura
ändern cambiar
figur figura
figur personaje
high high
diskussionen discusiones
verstanden entendido
nationalsozialismus nazismo
talk talk
blieben quedaron
vertrat representó
aachen aquisgrán
figuren figuras
figuren personajes
sendung emisión
argument argumento
zentrale central
erlaubt permitido
erlaubt permite
aufnahmen grabaciones
aussagen declaraciones
abgeschlossen completado
abgeschlossen finalizado
abgeschlossen terminado
wiesbaden wiesbaden
